File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
lto-llvm-0886c7.o,95.654480%,108212,11185,32200,75751,261,10924
mf_w.l,1.789124%,2024,0,2024,0,0,0
startup_at32f415.o,0.357118%,404,1024,36,368,0,1024
dadd.o,0.295241%,334,0,334,0,0,0
mc_w.l,0.205077%,232,0,232,0,0,0
dmul.o,0.201542%,228,0,228,0,0,0
ddiv.o,0.196238%,222,0,222,0,0,0
depilogue.o,0.164416%,186,0,186,0,0,0
fadd.o,0.155576%,176,0,176,0,0,0
fdiv.o,0.109610%,124,0,124,0,0,0
fepilogue.o,0.097235%,110,0,110,0,0,0
fmul.o,0.088395%,100,0,100,0,0,0
dfixi.o,0.054805%,62,0,62,0,0,0
d2f.o,0.049501%,56,0,56,0,0,0
dcmpgt.o,0.047734%,54,0,54,0,0,0
ffixi.o,0.044198%,50,0,50,0,0,0
dfixui.o,0.044198%,50,0,50,0,0,0
init.o,0.042430%,48,0,48,0,0,0
ffixui.o,0.035358%,40,0,40,0,0,0
f2d.o,0.033590%,38,0,38,0,0,0
memseta.o,0.031822%,36,0,36,0,0,0
llsshr.o,0.031822%,36,0,36,0,0,0
llushr.o,0.028287%,32,0,32,0,0,0
llshl.o,0.026519%,30,0,30,0,0,0
handlers.o,0.026519%,30,0,30,0,0,0
fcmplt.o,0.024751%,28,0,28,0,0,0
fcmple.o,0.024751%,28,0,28,0,0,0
fcmpgt.o,0.024751%,28,0,28,0,0,0
fcmpge.o,0.024751%,28,0,28,0,0,0
fcmpeq.o,0.024751%,28,0,28,0,0,0
dfltui.o,0.022983%,26,0,26,0,0,0
fflti.o,0.015911%,18,0,18,0,0,0
ffltui.o,0.008840%,10,0,10,0,0,0
entry9a.o,0.007072%,8,0,8,0,0,0
entry2.o,0.007072%,8,0,8,0,0,0
entry5.o,0.003536%,4,0,4,0,0,0
